"sample_num","sample_name","days_dox","TGFB_vec","tech_rep"
6721,1,10,1,1
6721,2,10,1,2
6721,3,10,1,3
6722,4,10,1,1
6722,5,10,1,2
6722,6,10,1,3
6724,7,10,1,1
6724,8,10,1,2
6724,9,10,1,3
6716,10,20,1,1
6716,11,20,1,2
6716,12,20,1,3
6717,13,20,1,1
6717,14,20,1,2
6717,15,20,1,3
6720,16,20,1,1
6720,17,20,1,2
6720,18,20,1,3
179,19,10,1,1
179,20,10,1,2
179,21,10,1,3
6723,22,10,1,1
6723,23,10,1,2
6723,24,10,1,3
6718,25,20,1,1
6718,26,20,1,2
6718,27,20,1,3
